File,aid,Date,1,3
_250m_16_days_pixel_reliability_2026017_aid0001,aid0001,2026-01-17 00:00:00+00:00,16,
_250m_16_days_pixel_reliability_2026033_aid0001,aid0001,2026-02-02 00:00:00+00:00,16,
_250m_16_days_pixel_reliability_2026049_aid0001,aid0001,2026-02-18 00:00:00+00:00,16,
_250m_16_days_pixel_reliability_2026065_aid0001,aid0001,2026-03-06 00:00:00+00:00,16,
_250m_16_days_pixel_reliability_2026081_aid0001,aid0001,2026-03-22 00:00:00+00:00,16,
_250m_16_days_pixel_reliability_2026017_aid0002,aid0002,2026-01-17 00:00:00+00:00,12,
_250m_16_days_pixel_reliability_2026033_aid0002,aid0002,2026-02-02 00:00:00+00:00,12,
_250m_16_days_pixel_reliability_2026049_aid0002,aid0002,2026-02-18 00:00:00+00:00,12,
_250m_16_days_pixel_reliability_2026065_aid0002,aid0002,2026-03-06 00:00:00+00:00,12,
_250m_16_days_pixel_reliability_2026081_aid0002,aid0002,2026-03-22 00:00:00+00:00,12,
_250m_16_days_pixel_reliability_2026017_aid0003,aid0003,2026-01-17 00:00:00+00:00,15,1.0
_250m_16_days_pixel_reliability_2026033_aid0003,aid0003,2026-02-02 00:00:00+00:00,16,
_250m_16_days_pixel_reliability_2026049_aid0003,aid0003,2026-02-18 00:00:00+00:00,16,
_250m_16_days_pixel_reliability_2026065_aid0003,aid0003,2026-03-06 00:00:00+00:00,13,3.0
_250m_16_days_pixel_reliability_2026081_aid0003,aid0003,2026-03-22 00:00:00+00:00,16,
_250m_16_days_pixel_reliability_2026017_aid0004,aid0004,2026-01-17 00:00:00+00:00,1,8.0
_250m_16_days_pixel_reliability_2026033_aid0004,aid0004,2026-02-02 00:00:00+00:00,9,
_250m_16_days_pixel_reliability_2026049_aid0004,aid0004,2026-02-18 00:00:00+00:00,9,
_250m_16_days_pixel_reliability_2026065_aid0004,aid0004,2026-03-06 00:00:00+00:00,9,
_250m_16_days_pixel_reliability_2026081_aid0004,aid0004,2026-03-22 00:00:00+00:00,9,
